cartera_id,sucursal_id,sucursal_nombre,periodo_id,anio,mes_numero,cantidad_prestamos,valor_rd
407,24,San Cristóbal,13,2018,4,1196,717182727
408,25,San Francisco de Macorís,13,2018,4,888,801549453
409,26,San José de Ocoa,13,2018,4,1096,1728613970
410,27,San José de las Matas,13,2018,4,917,636655465
411,28,San Juan de la Maguana,13,2018,4,4258,1389726918
412,29,Santiago,13,2018,4,502,408795332
413,30,Santiago Rodríguez,13,2018,4,1566,761963075
414,31,Santo Domingo,13,2018,4,1953,2135830955
415,32,Valverde Mao,13,2018,4,1115,1686233038
416,33,Villa Riva,13,2018,4,1121,470603527
417,1,Arenoso,14,2018,5,775,329018524
418,2,Azua,14,2018,5,1941,714372157
419,3,Baní,14,2018,5,713,605942359
420,4,Barahona,14,2018,5,2039,613248650
421,5,Bonao,14,2018,5,501,492676608
422,6,Comendador,14,2018,5,1562,293178426
423,7,Constanza,14,2018,5,1105,746633371
424,8,Cotuí,14,2018,5,1832,1255889302
425,9,Dajabón,14,2018,5,1193,501393710
426,10,El Seibo,14,2018,5,1069,379991661
427,11,Hato Mayor,14,2018,5,1122,933560961
428,12,Higüey,14,2018,5,1017,746714298
429,13,La Vega,14,2018,5,943,977732532
430,15,Moca,14,2018,5,896,704273075
431,16,Monte Plata,14,2018,5,1325,1283635958
432,17,Montecristí,14,2018,5,1092,879144520
433,18,Nagua,14,2018,5,1047,469121681
434,19,Neyba,14,2018,5,1636,520652114
435,20,Puerto Plata,14,2018,5,1796,597631791
436,21,Río San Juan,14,2018,5,1029,475871539
437,22,Salcedo,14,2018,5,818,426397766
438,23,Samaná,14,2018,5,1290,335331856
439,24,San Cristóbal,14,2018,5,1197,730960704
440,25,San Francisco de Macorís,14,2018,5,887,808195867
441,26,San José de Ocoa,14,2018,5,1107,1801330284
442,27,San José de las Matas,14,2018,5,913,634253960
443,28,San Juan de la Maguana,14,2018,5,4250,1425021776
444,29,Santiago,14,2018,5,500,437687917
445,30,Santiago Rodríguez,14,2018,5,1541,768433038
446,31,Santo Domingo,14,2018,5,1936,2082327048
447,32,Valverde Mao,14,2018,5,1116,1762724398
448,33,Villa Riva,14,2018,5,1151,455776604
449,1,Arenoso,15,2018,6,818,351951270
450,2,Azua,15,2018,6,1953,739118331
451,3,Baní,15,2018,6,710,611061739
452,4,Barahona,15,2018,6,2066,632482448
453,5,Bonao,15,2018,6,516,485072547
454,6,Comendador,15,2018,6,1527,296728124
455,7,Constanza,15,2018,6,1091,760685286
456,8,Cotuí,15,2018,6,1840,1296946228
457,9,Dajabón,15,2018,6,1206,498775470
458,10,El Seibo,15,2018,6,1061,398087808
459,11,Hato Mayor,15,2018,6,1132,964569394
460,12,Higüey,15,2018,6,1017,736910220
461,13,La Vega,15,2018,6,1024,1052429946
462,15,Moca,15,2018,6,889,724079979
463,16,Monte Plata,15,2018,6,1540,1380663919
464,17,Montecristí,15,2018,6,1153,929355400
465,18,Nagua,15,2018,6,1096,490286182
466,19,Neyba,15,2018,6,1622,524739234
467,20,Puerto Plata,15,2018,6,1798,595261764
468,21,Río San Juan,15,2018,6,1023,469888546
469,22,Salcedo,15,2018,6,825,426037992
470,23,Samaná,15,2018,6,1287,333971265
471,24,San Cristóbal,15,2018,6,1192,756426075
472,25,San Francisco de Macorís,15,2018,6,877,793360733
473,26,San José de Ocoa,15,2018,6,1136,1856987073
474,27,San José de las Matas,15,2018,6,896,626839652
475,28,San Juan de la Maguana,15,2018,6,4225,1448616070
476,29,Santiago,15,2018,6,493,455910001
477,30,Santiago Rodríguez,15,2018,6,1527,783843843
478,31,Santo Domingo,15,2018,6,1976,2147353545
479,32,Valverde Mao,15,2018,6,1177,1761993317
480,33,Villa Riva,15,2018,6,1167,466076575
481,1,Arenoso,16,2018,7,792,353072432
482,2,Azua,16,2018,7,1933,730056289
483,3,Baní,16,2018,7,685,621356453
484,4,Barahona,16,2018,7,2018,620518350
485,5,Bonao,16,2018,7,521,446022454
486,6,Comendador,16,2018,7,1485,285724602
487,7,Constanza,16,2018,7,1085,807996390
488,8,Cotuí,16,2018,7,1905,1264536294
489,9,Dajabón,16,2018,7,1203,509569266
490,10,El Seibo,16,2018,7,1072,391754716
491,11,Hato Mayor,16,2018,7,1120,998411056
492,12,Higüey,16,2018,7,984,703832935
493,13,La Vega,16,2018,7,975,1091339308
494,15,Moca,16,2018,7,879,718454100
495,16,Monte Plata,16,2018,7,1546,1516064105
496,17,Montecristí,16,2018,7,1161,977493748
497,18,Nagua,16,2018,7,1100,498606319
498,19,Neyba,16,2018,7,1583,526132019
499,20,Puerto Plata,16,2018,7,1768,585533326
500,21,Río San Juan,16,2018,7,1023,462107218
501,22,Salcedo,16,2018,7,807,417965184
502,23,Samaná,16,2018,7,1262,319464996
503,24,San Cristóbal,16,2018,7,1173,739914543
504,25,San Francisco de Macorís,16,2018,7,891,739683827
505,26,San José de Ocoa,16,2018,7,1156,1908155042
506,27,San José de las Matas,16,2018,7,909,592254565
507,28,San Juan de la Maguana,16,2018,7,4173,1455862729
508,29,Santiago,16,2018,7,473,463808182
509,30,Santiago Rodríguez,16,2018,7,1515,759792618
510,31,Santo Domingo,16,2018,7,1879,2250711753
511,32,Valverde Mao,16,2018,7,1179,1776651183
512,33,Villa Riva,16,2018,7,1106,364806432
513,1,Arenoso,17,2018,8,8,326426685
514,2,Azua,17,2018,8,14,727078165
515,3,Baní,17,2018,8,6,697054846
516,4,Barahona,17,2018,8,25,615346422
517,5,Bonao,17,2018,8,3,404352549
518,6,Comendador,17,2018,8,27,284647651
519,7,Constanza,17,2018,8,40,800650786
520,8,Cotuí,17,2018,8,5,1302669027
521,9,Dajabón,17,2018,8,7,511505618
522,10,El Seibo,17,2018,8,8,395739561
523,11,Hato Mayor,17,2018,8,4,996753117
524,12,Higüey,17,2018,8,6,702686506
525,13,La Vega,17,2018,8,13,1071342579
526,15,Moca,17,2018,8,5,691190007
527,16,Monte Plata,17,2018,8,7,1426264689
528,17,Montecristí,17,2018,8,6,988775836
529,18,Nagua,17,2018,8,16,403632776
530,19,Neyba,17,2018,8,21,519418059
531,20,Puerto Plata,17,2018,8,7,580718787
532,21,Río San Juan,17,2018,8,9,462308719
533,22,Salcedo,17,2018,8,4,416038724
534,23,Samaná,17,2018,8,29,315029868
535,24,San Cristóbal,17,2018,8,15,714979115
536,25,San Francisco de Macorís,17,2018,8,3,738788675
537,26,San José de Ocoa,17,2018,8,8,1978737083
538,27,San José de las Matas,17,2018,8,11,585109330
539,28,San Juan de la Maguana,17,2018,8,32,1451036561
540,29,Santiago,17,2018,8,10,442020651
541,30,Santiago Rodríguez,17,2018,8,4,749377691
542,31,Santo Domingo,17,2018,8,15,1565846842
543,32,Valverde Mao,17,2018,8,4,1833997010
544,33,Villa Riva,17,2018,8,10,353927509
545,1,Arenoso,18,2018,9,1014,332978017
546,2,Azua,18,2018,9,1163,2006376737
547,3,Baní,18,2018,9,1144,730971616
548,4,Barahona,18,2018,9,4053,1440690888
549,5,Bonao,18,2018,9,712,1082165883
550,6,Comendador,18,2018,9,1551,517995242
551,7,Constanza,18,2018,9,472,419376093
552,8,Cotuí,18,2018,9,782,751960856
553,9,Dajabón,18,2018,9,1485,757218125
554,10,El Seibo,18,2018,9,1038,389866684
555,11,Hato Mayor,18,2018,9,1110,946190685
556,12,Higüey,18,2018,9,935,698531448
557,13,La Vega,18,2018,9,1241,312389123
558,15,Moca,18,2018,9,777,411796841
559,16,Monte Plata,18,2018,9,1589,1430623515
560,17,Montecristí,18,2018,9,1015,1880963000
561,18,Nagua,18,2018,9,1022,465484578
