monto_destino_id,destino_id,destino_nombre,rubro,tipo_operacion,periodo_id,anio,mes_numero,cantidad,valores_rd,tareas,beneficiados
310,59,Invernadero,Invernadero,General,7,2017,10,0,0,0,0
311,63,Maíz (Comercialización),Maíz,Comercialización,7,2017,10,0,0,0,0
312,64,Maíz (Producción),Maíz,Producción,7,2017,10,2,222000,215,2
313,68,Otros Agrícolas,Otros Agrícolas,General,7,2017,10,139,659866090,19329,216
314,69,Otros Avícolas,Otros Avícolas,General,7,2017,10,1,300000,0,1
315,70,Otros Pecuarios,Otros Pecuarios,General,7,2017,10,27,45743934,0,27
316,72,Papa,Papa,General,7,2017,10,42,24686880,1159,42
317,75,Piña,Piña,General,7,2017,10,28,17935000,1183,28
318,77,Plátano,Plátano,General,7,2017,10,45,15025124,2699,45
319,82,Pollos de Engorde,Pollos de Engorde,General,7,2017,10,54,39670500,0,54
320,85,Porcino (Comercialización),Porcino,Comercialización,7,2017,10,1,1500000,0,1
321,86,Porcino (Producción),Porcino,Producción,7,2017,10,50,20460000,0,50
322,87,Préstamos de Consumo,Préstamos de Consumo,General,7,2017,10,187,33738568,0,187
323,92,Tabaco (Comercialización),Tabaco,Comercialización,7,2017,10,1,200000,0,1
324,94,Tabaco (Producción),Tabaco,Producción,7,2017,10,0,0,0,0
325,97,Tomate Industrial,Tomate Industrial,General,7,2017,10,0,0,0,0
326,98,Tomate de Mesa,Tomate de Mesa,General,7,2017,10,21,14755000,465,21
327,100,Yautía,Yautía,General,7,2017,10,12,1625000,310,12
328,102,Yuca,Yuca,General,7,2017,10,11,1625000,585,11
329,104,Ñame,Ñame,General,7,2017,10,16,3700000,769,16
330,3,"Agro. Manufactura, Comercio V. y Otros","Agro. Manufactura, Comercio V. y Otros",General,8,2017,11,366,435946075,0,368
331,4,Aguacate (Producción),Aguacate,Producción,8,2017,11,26,6570000,1109,26
332,8,Ajo (Comercialización),Ajo,Comercialización,8,2017,11,3,129000000,0,3
333,9,Ajo (Producción),Ajo,Producción,8,2017,11,6,4030000,112,6
334,10,Ají (Producción),Ají,Producción,8,2017,11,24,29985000,898,24
335,11,Apícola,Apícola,General,8,2017,11,3,12300000,0,3
336,14,Arroz (Comercialización),Arroz,Comercialización,8,2017,11,9,55600000,0,9
337,17,Arroz (Producción),Arroz,Producción,8,2017,11,1091,425284619,90960,1091
338,20,Batata,Batata,General,8,2017,11,8,2070000,702,8
339,23,Cacao (Comercialización),Cacao,Comercialización,8,2017,11,5,41325000,0,5
340,24,Cacao (Producción),Cacao,Producción,8,2017,11,43,12973000,4251,43
