Sucursal;Cantidad de Préstamos;Valor (RD$);Mes;Año
Santiago Rodriguez;4;749,377,691;Agosto;2018
Dajabón;7;511,505,618;Agosto;2018
San Jose de las Matas;11;585,109,330;Agosto;2018
Puerto Plata;7;580,718,787;Agosto;2018
San Cristobal;15;714,979,115;Agosto;2018
Bani;6;697,054,846;Agosto;2018
San Jose de Ocoa;8;1,978,737,083;Agosto;2018
Azua;14;727,078,165;Agosto;2018
Santo Domingo;1,847;1,477,029,551;Septiembre;2018
Monte Plata;1,589;1,430,623,515;Septiembre;2018
Hato Mayor;1,110;946,190,685;Septiembre;2018
El Seibo;1,038;389,866,684;Septiembre;2018
Higuey;935;698,531,448;Septiembre;2018
San Juan de la Maguana ;9,484;2,859,675,460;Septiembre;2018
Barahona;4,053;1,440,690,888;Septiembre;2018
Neyba;1,954;617,116,252;Septiembre;2018
Comendador;1,551;517,995,242;Septiembre;2018
San Francisco de Macoris;1,926;283,873,078;Septiembre;2018
Cotui;782;751,960,856;Septiembre;2018
Villa Riva;1,896;1,289,220,830;Septiembre;2018
Arenoso;1,014;332,978,017;Septiembre;2018
Rio San Juan;662;318,758,537;Septiembre;2018
Nagua;1,022;465,484,578;Septiembre;2018
Samana;922;396,117,418;Septiembre;2018
La Vega;1,241;312,389,123;Septiembre;2018
Bonao;712;1,082,165,883;Septiembre;2018
Constanza;472;419,376,093;Septiembre;2018
Salcedo;1,057;796,496,541;Septiembre;2018
Moca;777;411,796,841;Septiembre;2018
Santiago;826;677,096,976;Septiembre;2018
Valverde Mao;431;443,305,768;Septiembre;2018
Montecristy;1,015;1,880,963,000;Septiembre;2018
Santiago Rodriguez;976;987,285,618;Septiembre;2018
Dajabón;1,485;757,218,125;Septiembre;2018
