tipo_registro,anio,mes_numero,mes_nombre,periodo_fecha,sucursal_nombre,region,destino_nombre,rubro,tipo_operacion,cantidad_prestamos,valor_cartera_rd,tareas_financiadas,valor_area_rd,desembolsos_rd,cobros_rd,balance_neto_rd,cantidad_destino,valores_destino_rd,tareas_destino,beneficiados
Cartera prestamos,2017,9,Septiembre,2017-09-01,San José de Ocoa,Sur,,,,1157,1618349362,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,San José de las Matas,Cibao Norte,,,,935,578093692,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,San Juan de la Maguana,Sur,,,,4536,1398822079,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Santiago,Cibao Norte,,,,457,416018282,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Santiago Rodríguez,Cibao Noroeste,,,,1660,755496908,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Santo Domingo,Metropolitana,,,,1909,1616345832,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Valverde Mao,Cibao Noroeste,,,,973,1431730601,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Villa Riva,Cibao Nordeste,,,,1059,332247406,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,10,Octubre,2017-10-01,Arenoso,Cibao Nordeste,,,,703,254729973,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,10,Octubre,2017-10-01,Azua,Sur,,,,1940,654187686,0,0,0,0,0,0,0,0,0
